x, p, q_kl_pq, q_kl_qp, q_renyi
-6.957393483709273241e+00,3.895463394529971785e-05,8.973786934849230235e-03,1.943016497028849114e-04,3.968936850050192727e-03
-6.917293233082706827e+00,4.226566751861699677e-05,9.256374165065027124e-03,2.080532669459551226e-04,4.133605755568395441e-03
-6.877192982456140413e+00,4.583969796152077256e-05,9.546149160089747315e-03,2.227017897962289947e-04,4.304122649281528351e-03
-6.837092731829573999e+00,4.969597010489537891e-05,9.843231454266312963e-03,2.382999718413255979e-04,4.480649209893448719e-03
-6.796992481203007586e+00,5.385499731334424361e-05,1.014774032342742778e-02,2.549032605320661988e-04,4.663349560911802041e-03
-6.756892230576441172e+00,5.833863384435955649e-05,1.045979469003386828e-02,2.725699071944404040e-04,4.852390217805644876e-03
-6.716791979949874758e+00,6.317015047855681375e-05,1.077951302569096076e-02,2.913610797550757713e-04,5.047940030213434077e-03
-6.676691729323308344e+00,6.837431351856544486e-05,1.110701325106882090e-02,3.113409781294873557e-04,5.250170119080356003e-03
-6.636591478696741930e+00,7.397746728022436139e-05,1.144241263325546272e-02,3.325769522122288884e-04,5.459253808607457750e-03
-6.596491228070175517e+00,8.000762027992184872e-05,1.178582768057671003e-02,3.551396223974287642e-04,5.675366552898622984e-03
-6.556390977443609103e+00,8.649453555226605667e-05,1.213737403492045654e-02,3.791030025469830701e-04,5.898685857195721388e-03
-6.516290726817042689e+00,9.346982616457472244e-05,1.249716636160749794e-02,4.045446253119591219e-04,6.129391193596436284e-03
-6.476190476190476275e+00,1.009670586673424794e-04,1.286531823685556526e-02,4.315456697005101922e-04,6.367663911154338580e-03
-6.436090225563909861e+00,1.090218714968134342e-04,1.324194203288751523e-02,4.601910907728068998e-04,6.613687140265820698e-03
-6.395989974937343447e+00,1.176721259255056670e-04,1.362714880073904317e-02,4.905697513301843183e-04,6.867645691254085569e-03
-6.355889724310777034e+00,1.269581324742244204e-04,1.402104815082623294e-02,5.227745554518709601e-04,7.129725947066465133e-03
-6.315789473684210620e+00,1.369230542866865048e-04,1.442374813133753819e-02,5.569025837183346969e-04,7.400115750007583461e-03
-6.275689223057644206e+00,1.476137199877732833e-04,1.483535510451943797e-02,5.930552299454571992e-04,7.679004282437645879e-03
-6.235588972431077792e+00,1.590823614620676943e-04,1.525597362092997837e-02,6.313383392384092335e-04,7.966581941372266953e-03
-6.195488721804511378e+00,1.713903812693525668e-04,1.568570629173889411e-02,6.718623471583608274e-04,8.263040206927802292e-03
-6.155388471177944965e+00,1.846164368893240030e-04,1.612465365915781434e-02,7.147424197788992311e-04,8.568571504564050784e-03
-6.115288220551378551e+00,1.988734114609760949e-04,1.657291406508870288e-02,7.600985943924238025e-04,8.883369061084469415e-03
-6.075187969924812137e+00,2.143430706203220402e-04,1.703058351808374796e-02,8.080559206097186805e-04,9.207626754362662619e-03
-6.035087719298245723e+00,2.313447129330083098e-04,1.749775555871437710e-02,8.587446015785095985e-04,9.541538956773192373e-03
-5.994987468671679309e+00,2.504668436607384620e-04,1.797452112345177336e-02,9.123001350290862229e-04,9.885300372313969228e-03
-5.954887218045112895e+00,2.728113927891273149e-04,1.846096840716640250e-02,9.688634538369891858e-04,1.023910586741739147e-02
-5.914786967418546482e+00,3.004311730338215213e-04,1.895718272435839916e-02,1.028581065774516676e-03,1.060315029545750957e-02
-5.874686716791980068e+00,3.370856466122264250e-04,1.946324636923536106e-02,1.091605192104222553e-03,1.097762831497122414e-02
-5.834586466165413654e+00,3.894982274548481455e-04,1.997923847475894382e-02,1.158093904648941274e-03,1.136273420162212631e-02
-5.794486215538847240e+00,4.693664542551474728e-04,2.050523487078607585e-02,1.228211260953978581e-03,1.175866165394697307e-02
-5.754385964912280826e+00,5.964427855101695842e-04,2.104130794143516461e-02,1.302127437138288603e-03,1.216560359293635159e-02
-5.714285714285714413e+00,8.030453485310528206e-04,2.158752648181201314e-02,1.380018858012486797e-03,1.258375195551268352e-02
-5.674185463659147999e+00,1.140337485344813983e-03,2.214395555423488704e-02,1.462068324022675623e-03,1.301329748198134552e-02
-5.634085213032581585e+00,1.686581834351070803e-03,2.271065634410195794e-02,1.548465134560332666e-03,1.345442949754250932e-02
-5.593984962406015171e+00,2.557272148184133991e-03,2.328768601554888698e-02,1.639405207159808867e-03,1.390733568796462781e-02
-5.553884711779448757e+00,3.916526819358348566e-03,2.387509756704853450e-02,1.735091192086756027e-03,1.437220186953272819e-02
-5.513784461152882344e+00,5.988379745548731529e-03,2.447293968710807441e-02,1.835732581802583833e-03,1.484921175339868823e-02
-5.473684210526315930e+00,9.065680601829252672e-03,2.508125661022359010e-02,1.941545814772533763e-03,1.533854670447322259e-02
-5.433583959899749516e+00,1.351336701743600932e-02,2.570008797325508410e-02,2.052754373067590659e-03,1.584038549501361540e-02
-5.393483709273183102e+00,1.976215274247964185e-02,2.632946867238893096e-02,2.169588873193942138e-03,1.635490405307421860e-02
-5.353383458646616688e+00,2.828853349419097052e-02,2.696942872085810253e-02,2.292287149567542870e-03,1.688227520600152701e-02
-5.313283208020050274e+00,3.957781245306658119e-02,2.761999310759348514e-02,2.421094330036104286e-03,1.742266841916878181e-02
-5.273182957393483861e+00,5.406886642602024007e-02,2.828118165698319253e-02,2.556262902836297594e-03,1.797624953015977342e-02
-5.233082706766917447e+00,7.208265682923192808e-02,2.895300888991919272e-02,2.698052774360321787e-03,1.854318047862529156e-02
-5.192982456140351033e+00,9.374072393591334484e-02,2.963548388631348854e-02,2.846731317093469885e-03,1.912361903205020072e-02
-5.152882205513784619e+00,1.188843578902845227e-01,3.032861014926880802e-02,3.002573407072684723e-03,1.971771850768318929e-02
-5.112781954887218205e+00,1.470087302789927219e-01,3.103238547109055112e-02,3.165861450205869395e-03,2.032562749089534410e-02
-5.072681704260651792e+00,1.772277653690509658e-01,3.174680180132934126e-02,3.336885396782625357e-03,2.094748955024813841e-02
-5.032581453634085378e+00,2.082838917197847584e-01,3.247184511704524768e-02,3.515942743499374246e-03,2.158344294956528187e-02
-4.992481203007518964e+00,2.386115768878734889e-01,3.320749529548597950e-02,3.703338522315813459e-03,2.223362035731699798e-02
-4.952380952380952550e+00,2.664551197657573089e-01,3.395372598937356629e-02,3.899385275454859013e-03,2.289814855363910689e-02
-4.912280701754386136e+00,2.900309344875304229e-01,3.471050450499423012e-02,4.104403015855539495e-03,2.357714813532276951e-02
-4.872180451127819723e+00,3.077146522963855602e-01,3.547779168328773353e-02,4.318719172386975731e-03,2.427073321912464818e-02
-4.832080200501253309e+00,3.182262188375105660e-01,3.625554178413298995e-02,4.542668519132604665e-03,2.497901114375985013e-02
-4.791979949874686895e+00,3.207838196218716353e-01,3.704370237402655752e-02,4.776593088056369472e-03,2.570208217095363082e-02
-4.751879699248120481e+00,3.152009567630777997e-01,3.784221421735155244e-02,5.020842064367512375e-03,2.644003918593967883e-02
-4.711779448621554067e+00,3.019099483718649113e-01,3.865101117143353998e-02,5.275771663907722481e-03,2.719296739780596370e-02
-4.671679197994987653e+00,2.819077457328403868e-01,3.947002008557982250e-02,5.541744991893421055e-03,2.796094404010007750e-02
-4.631578947368421240e+00,2.566335013198445814e-01,4.029916070429789138e-02,5.819131882357950550e-03,2.874403807211838024e-02
-4.591478696741854826e+00,2.277987647941795424e-01,4.113834557488728338e-02,6.108308717652207419e-03,2.954230988131345895e-02
-4.551378446115288412e+00,1.971980896676185646e-01,4.198747995959788842e-02,6.409658227379008352e-03,3.035581098726555793e-02
-4.511278195488721998e+00,1.665289513869931126e-01,4.284646175254633316e-02,6.723569266155655227e-03,3.118458374767314398e-02
-4.471177944862155584e+00,1.372454183174399434e-01,4.371518140157940047e-02,7.050436569620883651e-03,3.202866106682764752e-02
-4.431077694235589171e+00,1.104614824418820307e-01,4.459352183527180019e-02,7.390660488127183923e-03,3.288806610704576167e-02
-4.390977443609022757e+00,8.690962673238730729e-02,4.548135839524225510e-02,7.744646697586570101e-03,3.376281200354135786e-02
-4.350877192982456343e+00,6.695046791644360118e-02,4.637855877396951376e-02,8.112805886968324151e-03,3.465290158322609920e-02
-4.310776942355889929e+00,5.062204903067957229e-02,4.728498295828623132e-02,8.495553421979943481e-03,3.555832708793515290e-02
-4.270676691729323515e+00,3.771356277565142412e-02,4.820048317872490523e-02,8.893308984498967534e-03,3.647906990258006216e-02
-4.230576441102757101e+00,2.784799802313745257e-02,4.912490386488671534e-02,9.306496187361817940e-03,3.741510028873639565e-02
-4.190476190476190688e+00,2.056067906996840097e-02,5.005808160699894149e-02,9.735542164157898887e-03,3.836637712417824420e-02
-4.150375939849624274e+00,1.536474937471926303e-02,5.099984512382275958e-02,1.018087713372203655e-02,3.933284764887517992e-02
-4.110275689223057860e+00,1.179913173690110006e-02,5.195001523706810342e-02,1.064293393906581321e-02,4.031444721797046438e-02
-4.070175438596491446e+00,9.458414856228449311e-03,5.290840485246673525e-02,1.112214756053960321e-02,4.131109906226067274e-02
-4.030075187969925032e+00,8.006908862644932998e-03,5.387481894764938051e-02,1.161895460307023342e-02,4.232271405669874031e-02
-3.989974937343358619e+00,7.180622356653763166e-03,5.484905456696703707e-02,1.213379275737615053e-02,4.334919049744129227e-02
-3.949874686716792205e+00,6.781295524819388153e-03,5.583090082338981047e-02,1.266710023512093199e-02,4.439041388796177018e-02
-3.909774436090225791e+00,6.666206260504622255e-03,5.682013890761088148e-02,1.321931517802863582e-02,4.544625673474753103e-02
-3.869674185463659377e+00,6.736617927367143446e-03,5.781654210447564196e-02,1.379087504104892399e-02,4.651657835309736672e-02
-3.829573934837092963e+00,6.926773396247746205e-03,5.881987581684955391e-02,1.438221594972758678e-02,4.760122468353099323e-02
-3.789473684210526550e+00,7.194474478514615266e-03,5.982989759703054300e-02,1.499377203200821275e-02,4.870002811931833930e-02
-3.749373433583960136e+00,7.513627161275971897e-03,6.084635718580405639e-02,1.562597472476282348e-02,4.981280734562883172e-02
-3.709273182957393722e+00,7.868704603818953841e-03,6.186899655923135816e-02,1.627925205542459300e-02,5.093936719079572573e-02
-3.669172932330827308e+00,8.250851765292966170e-03,6.289754998325265689e-02,1.695402789917218808e-02,5.207949849018049526e-02
-3.629072681704260894e+00,8.655274193564448451e-03,6.393174407617893684e-02,1.765072121219438822e-02,5.323297796311470681e-02
-3.588972431077694480e+00,9.079563240662039472e-03,6.497129787913737131e-02,1.836974524164455488e-02,5.439956810338520549e-02
-3.548872180451128067e+00,9.522665132688791848e-03,6.601592293452586413e-02,1.911150671297644557e-02,5.557901708371778410e-02
-3.508771929824561653e+00,9.984270469707066595e-03,6.706532337252356368e-02,1.987640499543752437e-02,5.677105867470188388e-02
-3.468671679197995239e+00,1.046446573564350883e-02,6.811919600569467381e-02,2.066483124658039308e-02,5.797541217858481061e-02
-3.428571428571428825e+00,1.096354118729962746e-02,6.917723043171276898e-02,2.147716753673986276e-02,5.919178237834996775e-02
-3.388471177944862411e+00,1.148188836213339704e-02,7.023910914422393237e-02,2.231378595450945329e-02,6.041985950247707321e-02
-3.348370927318295998e+00,1.201994699703824547e-02,7.130450765185594730e-02,2.317504769433988143e-02,6.165931920576626230e-02
-3.308270676691729584e+00,1.257817819408543238e-02,7.237309460537129369e-02,2.406130212746907318e-02,6.290982256658912697e-02
-3.268170426065163170e+00,1.315705103194763151e-02,7.344453193295147342e-02,2.497288585748202658e-02,6.417101610091184571e-02
-3.228070175438596756e+00,1.375703582216628550e-02,7.451847498358900312e-02,2.591012176188632610e-02,6.544253179341445736e-02
-3.187969924812030342e+00,1.437860053115453188e-02,7.559457267855360096e-02,2.687331802117696317e-02,6.672398714601031344e-02
-3.147869674185463928e+00,1.502220865188207133e-02,7.667246767088783943e-02,2.786276713695021168e-02,6.801498524404692159e-02
-3.107769423558897515e+00,1.568831770838493775e-02,7.775179651287693339e-02,2.887874494071255085e-02,6.931511484044716731e-02
-3.067669172932331101e+00,1.637737801771911583e-02,7.883218983142685488e-02,2.992150959511408193e-02,7.062395045802538629e-02
-3.027568922305764687e+00,1.708983154294653473e-02,7.991327251127293418e-02,3.099130058941906504e-02,7.194105251018842462e-02
-2.987468671679198273e+00,1.782611076624028568e-02,8.099466388593139221e-02,3.208833773110619791e-02,7.326596744020584528e-02
-2.947368421052631859e+00,1.858663755339890963e-02,8.207597793629461957e-02,3.321282013556953183e-02,7.459822787920721010e-02
-2.907268170426065446e+00,1.937182199913911260e-02,8.315682349675965201e-02,3.436492521596646449e-02,7.593735282303706868e-02
-2.867167919799499032e+00,2.018206125007857357e-02,8.423680446876907757e-02,3.554480767533140656e-02,7.728284782806971176e-02
-2.827067669172932618e+00,2.101773830542076962e-02,8.531552004163220349e-02,3.675259850314323284e-02,7.863420522605829577e-02
-2.786967418546366204e+00,2.187922079664040079e-02,8.639256492048290326e-02,3.798840397859935131e-02,7.999090435806176236e-02
-2.746867167919799790e+00,2.276685974804060902e-02,8.746752956122090528e-02,3.925230468291152075e-02,8.135241182746477673e-02
-2.706766917293233377e+00,2.368098832035189436e-02,8.854000041227103046e-02,4.054435452299464532e-02,8.271818177207389267e-02
-2.666666666666666963e+00,2.462192053973894651e-02,8.960956016298540772e-02,4.186457976897272476e-02,8.408765615524331494e-02
-2.626566416040100549e+00,2.558995001474010517e-02,9.067578799850235793e-02,4.321297810797351119e-02,8.546026507595085031e-02
-2.586466165413534135e+00,2.658534864380680124e-02,9.173825986086542317e-02,4.458951771672494541e-02,8.683542709771401025e-02
-2.546365914786967721e+00,2.760836531624659418e-02,9.279654871619581746e-02,4.599413635550377716e-02,8.821254959620293545e-02
-2.506265664160401307e+00,2.865922460950303188e-02,9.385022482770140340e-02,4.742674048601611125e-02,8.959102912537526830e-02
-2.466165413533834894e+00,2.973812548583162907e-02,9.489885603429522309e-02,4.888720441581531628e-02,9.097025180192411242e-02
-2.426065162907268480e+00,3.084523999155090387e-02,9.594200803458714788e-02,5.037536947187937209e-02,9.234959370779914634e-02
-2.385964912280702066e+00,3.198071196216197010e-02,9.697924467600259335e-02,5.189104320598127151e-02,9.372842131052595838e-02
-2.345864661654135652e+00,3.314465573673781168e-02,9.801012824877278207e-02,5.343399863449088683e-02,9.510609190101766697e-02
-2.305764411027569238e+00,3.433715488508420205e-02,9.903421978453280650e-02,5.500397351524195094e-02,9.648195404853857071e-02
-2.265664160401002825e+00,3.555826095126749659e-02,1.000510793592539333e-01,5.660066966408942857e-02,9.785534807244763988e-02
-2.225563909774436411e+00,3.680799221718853570e-02,1.010602664002292900e-01,5.822375231376217958e-02,9.922560653031675670e-02
-2.185463659147869997e+00,3.808633248995847709e-02,1.020613399968233054e-01,5.987284951759194729e-02,1.005920547219864153e-01
-2.145363408521303583e+00,3.939322991689801767e-02,1.030538592146877375e-01,6.154755160066414238e-02,1.019540112090895068e-01
-2.105263157894737169e+00,4.072859583203743833e-02,1.040373834131397973e-01,6.324741066089507868e-02,1.033107883495427148e-01
-2.065162907268170756e+00,4.209230363804052077e-02,1.050114725653909231e-01,6.497194012248969086e-02,1.046616928464731699e-01
-2.025062656641604342e+00,4.348418772750932415e-02,1.059756875813075150e-01,6.672061434417540793e-02,1.060060263110186030e-01
-1.984962406015037928e+00,4.490404244764883979e-02,1.069295906323798201e-01,6.849286828454186071e-02,1.073430858384079450e-01
-1.944862155388471514e+00,4.635162111228104120e-02,1.078727454785680107e-01,7.028809722673984295e-02,1.086721645967018424e-01
-1.904761904761905100e+00,4.782663506519468921e-02,1.088047177966900703e-01,7.210565656471137896e-02,1.099925524275422867e-01
-1.864661654135338686e+00,4.932875279880187536e-02,1.097250755100105529e-01,7.394486165302974201e-02,1.113035364582345421e-01
-1.824561403508772273e+00,5.085759913204267874e-02,1.106333891186850465e-01,7.580498772232942273e-02,1.126044017244567513e-01
-1.784461152882205859e+00,5.241275445143660922e-02,1.115292320307106483e-01,7.768526986219814745e-02,1.138944318028674157e-01
-1.744360902255639445e+00,5.399375401912193811e-02,1.124121808930299421e-01,7.958490307328631996e-02,1.151729094528560898e-01
-1.704260651629073031e+00,5.560008735165272026e-02,1.132818159224317917e-01,8.150304239026737174e-02,1.164391172666590368e-01
-1.664160401002506617e+00,5.723119767323731760e-02,1.141377212358902632e-01,8.343880307714905686e-02,1.176923383270388757e-01
-1.624060150375940204e+00,5.888648144700133619e-02,1.149794851799809808e-01,8.539126089629904548e-02,1.189318568717065566e-01
-1.583959899749373790e+00,6.056528798774275107e-02,1.158067006590118020e-01,8.735945245240053780e-02,1.201569589636434232e-01
-1.543859649122807376e+00,6.226691915951659134e-02,1.166189654615042703e-01,8.934237561240246372e-02,1.213669331664628814e-01
-1.503759398496240962e+00,6.399062916124181877e-02,1.174158825846614157e-01,9.133899000236798960e-02,1.225610712239337124e-01
-1.463659147869674548e+00,6.573562440336359891e-02,1.181970605564570398e-01,9.334821758196049091e-02,1.237386687427713683e-01
-1.423558897243108134e+00,6.750106347843022603e-02,1.189621137549828345e-01,9.536894329713441198e-02,1.248990258777890050e-01
-1.383458646616541721e+00,6.928605722825588453e-02,1.197106627246894150e-01,9.740001581142102016e-02,1.260414480184876285e-01
-1.343358395989975307e+00,7.108966891013841771e-02,1.204423344891601411e-01,9.944024831601837311e-02,1.271652464761530155e-01
-1.303258145363408893e+00,7.291091446438580093e-02,1.211567628600574847e-01,1.014884194187063160e-01,1.282697391705173440e-01
-1.263157894736842479e+00,7.474876288517622036e-02,1.218535887418848718e-01,1.035432741114190314e-01,1.293542513150360562e-01
-1.223057644110276065e+00,7.660213669653538615e-02,1.225324604322098332e-01,1.056035248161114604e-01,1.304181160998237055e-01
-1.182957393483709652e+00,7.846991253496146679e-02,1.231930339169975547e-01,1.076678525083593907e-01,1.314606753712873888e-01
-1.142857142857143238e+00,8.035092183996271620e-02,1.238349731607085030e-01,1.097349079179340409e-01,1.324812803074947032e-01
-1.102756892230576824e+00,8.224395165349779324e-02,1.244579503908183338e-01,1.118033128053883551e-01,1.334792920883107192e-01
-1.062656641604010410e+00,8.414774552902250238e-02,1.250616463764228081e-01,1.138716613134911071e-01,1.344540825593398270e-01
-1.022556390977443996e+00,8.606100455055214205e-02,1.256457507005972474e-01,1.159385213921397401e-01,1.354050348887102795e-01
-9.824561403508775825e-01,8.798238846184486261e-02,1.262099620261848687e-01,1.180024362951792721e-01,1.363315442157434776e-01
-9.423558897243111687e-01,8.991051690550092013e-02,1.267539883546964785e-01,1.200619261473517552e-01,1.372330182905562579e-01
-9.022556390977447549e-01,9.184397077145521615e-02,1.272775472780094952e-01,1.221154895793973155e-01,1.381088781036515223e-01
-8.621553884711783411e-01,9.378129365401718931e-02,1.277803662225634462e-01,1.241616054291285048e-01,1.389585585045628457e-01
-8.220551378446119273e-01,9.572099341628584335e-02,1.282621826857562042e-01,1.261987345061007793e-01,1.397815088086291901e-01
-7.819548872180455135e-01,9.766154386043543467e-02,1.287227444642541352e-01,1.282253214173074418e-01,1.405771933909895355e-01
-7.418546365914790996e-01,9.960138650203580191e-02,1.291618098739381881e-01,1.302397964511359529e-01,1.413450922669017285e-01
-7.017543859649126858e-01,1.015389324462364351e-01,1.295791479612176111e-01,1.322405775166365371e-01,1.420847016575064736e-01
-6.616541353383462720e-01,1.034725643633098158e-01,1.299745387054526136e-01,1.342260721349707586e-01,1.427955345401754894e-01
-6.215538847117798582e-01,1.054006385607172414e-01,1.303477732122378663e-01,1.361946794797341542e-01,1.434771211826028625e-01
-5.814536340852134444e-01,1.073214871485297234e-01,1.306986538973086698e-01,1.381447924626754142e-01,1.441290096598208670e-01
-5.413533834586470306e-01,1.092334202947117389e-01,1.310269946608438596e-01,1.400747998611731604e-01,1.447507663533429967e-01
-5.012531328320806168e-01,1.111347285664533308e-01,1.313326210519496495e-01,1.419830884836764950e-01,1.453419764316638552e-01
-4.611528822055142030e-01,1.130236853534226232e-01,1.316153704231211030e-01,1.438680453691681682e-01,1.459022443113703604e-01
-4.210526315789477891e-01,1.148985493685033971e-01,1.318750920744899413e-01,1.457280600165719031e-01,1.464311940981468108e-01
-3.809523809523813753e-01,1.167575672212845250e-01,1.321116473876793318e-01,1.475615266398968006e-01,1.469284700069862226e-01
-3.408521303258149615e-01,1.185989760592803532e-01,1.323249099490994285e-01,1.493668464447923117e-01,1.473937367609500781e-01
-3.007518796992485477e-01,1.204210062715848906e-01,1.325147656625298709e-01,1.511424299220799072e-01,1.478266799678509824e-01
-2.606516290726821339e-01,1.222218842493984076e-01,1.326811128508495752e-01,1.528866991537294329e-01,1.482270064742659821e-01
-2.205513784461157201e-01,1.239998351976153157e-01,1.328238623467856705e-01,1.545980901266617580e-01,1.485944446963227139e-01
-1.804511278195493063e-01,1.257530859914273713e-01,1.329429375725693641e-01,1.562750550496855295e-01,1.489287449267351904e-01
-1.403508771929828924e-01,1.274798680716758281e-01,1.330382746083984269e-01,1.579160646688122227e-01,1.492296796176044160e-01
-1.002506265664164786e-01,1.291784203724856139e-01,1.331098222496209516e-01,1.595196105761445826e-01,1.494970436385344992e-01
-6.015037593985006481e-02,1.308469922745292002e-01,1.331575420525682729e-01,1.610842075074952473e-01,1.497306545096548924e-01
-2.005012531328365100e-02,1.324838465771027984e-01,1.331814083689805139e-01,1.626083956238687789e-01,1.499303526091782801e-01
2.005012531328276282e-02,1.340872624820527437e-01,1.331814083689805139e-01,1.640907427719277278e-01,1.500960013551631833e-01
6.015037593984828845e-02,1.356555385824637916e-01,1.331575420525682729e-01,1.655298467185669087e-01,1.502274873611919581e-01
1.002506265664155904e-01,1.371869958489190244e-01,1.331098222496209516e-01,1.669243373547335541e-01,1.503247205657157193e-01
1.403508771929828924e-01,1.386799806060577678e-01,1.330382746083984546e-01,1.682728788636621842e-01,1.503876343348593825e-01
1.804511278195484181e-01,1.401328674921003825e-01,1.329429375725693641e-01,1.695741718487334959e-01,1.504161855385228175e-01
2.205513784461139437e-01,1.415440623939722697e-01,1.328238623467856705e-01,1.708269554162244186e-01,1.504103545996564040e-01
2.606516290726812457e-01,1.429120053506454935e-01,1.326811128508495752e-01,1.720300092082844567e-01,1.503701455166319145e-01
3.007518796992485477e-01,1.442351734173296096e-01,1.325147656625298986e-01,1.731821553815575399e-01,1.502955858586733640e-01
3.408521303258140733e-01,1.455120834831771237e-01,1.323249099490994285e-01,1.742822605269652436e-01,1.501867267343548751e-01
3.809523809523795990e-01,1.467412950352277867e-01,1.321116473876793596e-01,1.753292375262746616e-01,1.500436427332158540e-01
4.210526315789469010e-01,1.479214128613997592e-01,1.318750920744899691e-01,1.763220473411983569e-01,1.498664318405870666e-01
4.611528822055142030e-01,1.490510896854419232e-01,1.316153704231211030e-01,1.772597007309068828e-01,1.496552153257638684e-01
5.012531328320797286e-01,1.501290287268939594e-01,1.313326210519496495e-01,1.781412598939829117e-01,1.494101376037046680e-01
5.413533834586452542e-01,1.511539861792536577e-01,1.310269946608438874e-01,1.789658400310022990e-01,1.491313660704762234e-01
5.814536340852125562e-01,1.521247735997294237e-01,1.306986538973086698e-01,1.797326108240994424e-01,1.488190909127075079e-01
6.215538847117798582e-01,1.530402602041562032e-01,1.303477732122378663e-01,1.804407978300540671e-01,1.484735248913564565e-01
6.616541353383453838e-01,1.538993750608758926e-01,1.299745387054526413e-01,1.810896837836284412e-01,1.480949031001331517e-01
7.017543859649109095e-01,1.547011091776269442e-01,1.295791479612176389e-01,1.816786098080846734e-01,1.476834826989637528e-01
7.418546365914782115e-01,1.554445174757523862e-01,1.291618098739382159e-01,1.822069765300227684e-01,1.472395426229181903e-01
7.819548872180455135e-01,1.561287206463211619e-01,1.287227444642541352e-01,1.826742450958989405e-01,1.467633832670627025e-01
8.220551378446110391e-01,1.567529068830610384e-01,1.282621826857562042e-01,1.830799380878108396e-01,1.462553261477356203e-01
8.621553884711765647e-01,1.573163334873227404e-01,1.277803662225634740e-01,1.834236403363715406e-01,1.457157135407811943e-01
9.022556390977438667e-01,1.578183283406344173e-01,1.272775472780095229e-01,1.837049996287342946e-01,1.451449080973110373e-01
9.423558897243111687e-01,1.582582912407593800e-01,1.267539883546965063e-01,1.839237273100780834e-01,1.445432924375971151e-01
